method,time,metric,datetime
pymzml,0.3737858250096906,rtrange,2024-11-21 10:30:09.568607
pymzml,0.3653948239807505,rtrange,2024-11-21 10:30:09.568607
pymzml,0.3720949249982368,rtrange,2024-11-21 10:30:09.568607
pymzml,0.3663239239831455,rtrange,2024-11-21 10:30:09.568607
pyopenms,0.3973380259994883,rtrange,2024-11-21 10:30:09.568607
pyopenms,0.409130826999899,rtrange,2024-11-21 10:30:09.568607
pyopenms,0.4544916309823748,rtrange,2024-11-21 10:30:09.568607
pyopenms,0.49859113301499747,rtrange,2024-11-21 10:30:09.568607
pyopenms,0.5991798400063999,rtrange,2024-11-21 10:30:09.568607
pyopenms,0.48723842899198644,rtrange,2024-11-21 10:30:09.568607
pyopenms,0.46225862702704035,rtrange,2024-11-21 10:30:09.568607
pyopenms,0.46707172598689795,rtrange,2024-11-21 10:30:09.568607
pyopenms,0.4684165270009544,rtrange,2024-11-21 10:30:09.568607
pyopenms,0.46024752702214755,rtrange,2024-11-21 10:30:09.568607
pyopenms_2d,0.39482202200451866,rtrange,2024-11-21 10:30:09.568607
pyopenms_2d,0.39498522301437333,rtrange,2024-11-21 10:30:09.568607
pyopenms_2d,0.4048207229934633,rtrange,2024-11-21 10:30:09.568607
pyopenms_2d,0.4020290230109822,rtrange,2024-11-21 10:30:09.568607
pyopenms_2d,0.4011306229804177,rtrange,2024-11-21 10:30:09.568607
pyopenms_2d,0.4149024240032304,rtrange,2024-11-21 10:30:09.568607
pyopenms_2d,0.39522212199517526,rtrange,2024-11-21 10:30:09.568607
pyopenms_2d,0.39670152301550843,rtrange,2024-11-21 10:30:09.568607
pyopenms_2d,0.3973729230056051,rtrange,2024-11-21 10:30:09.568607
pyopenms_2d,0.40251492298557423,rtrange,2024-11-21 10:30:09.568607
