query,target,method,time
chrom,700.6256103515625,DuckDB,0.024423799943178892
chrom,700.6256103515625,Parquet,0.09138160012662411
chrom,1222.341064453125,pyteomics,7.098243100102991
chrom,1222.341064453125,pyopenms,2.7798808999359608
chrom,1222.341064453125,pyopenms_2DPeak,2.457270900020376
chrom,1222.341064453125,pymzml,4.038053400116041
chrom,1222.341064453125,mzMLb,6.365099599817768
chrom,1222.341064453125,mzDB,0.34518010006286204
chrom,1222.341064453125,MZA,3.7977809000294656
chrom,1222.341064453125,mz5,10.179869099985808
chrom,1222.341064453125,MZTree,0.12779720011167228
chrom,1222.341064453125,mzMD,0.21511079999618232
chrom,1222.341064453125,SQLite,0.25355820008553565
chrom,1222.341064453125,DuckDB,0.01630820007994771
chrom,1222.341064453125,Parquet,0.06010230001993477
chrom,237.0791473388672,pyteomics,7.439262400148436
chrom,237.0791473388672,pyopenms,3.187198500148952
chrom,237.0791473388672,pyopenms_2DPeak,2.4871743000112474
chrom,237.0791473388672,pymzml,4.424355800030753
chrom,237.0791473388672,mzMLb,6.841513299848884
chrom,237.0791473388672,mzDB,0.2643835998605937
chrom,237.0791473388672,MZA,3.9583038999699056
chrom,237.0791473388672,mz5,10.167011299869046
chrom,237.0791473388672,MZTree,0.5064020999707282
chrom,237.0791473388672,mzMD,0.19938319991342723
chrom,237.0791473388672,SQLite,0.270473700016737
chrom,237.0791473388672,DuckDB,0.025469500105828047
chrom,237.0791473388672,Parquet,0.05661410000175238
chrom,219.1871795654297,pyteomics,6.969978700159118
chrom,219.1871795654297,pyopenms,2.764093500096351
chrom,219.1871795654297,pyopenms_2DPeak,2.4832550000865012
chrom,219.1871795654297,pymzml,4.00750399986282
chrom,219.1871795654297,mzMLb,6.36798660014756
chrom,219.1871795654297,mzDB,0.2670036000199616
chrom,219.1871795654297,MZA,3.9537242997903377
chrom,219.1871795654297,mz5,10.15542810014449
chrom,219.1871795654297,MZTree,0.34637119993567467
chrom,219.1871795654297,mzMD,0.1980296999681741
chrom,219.1871795654297,SQLite,0.2771812998689711
chrom,219.1871795654297,DuckDB,0.015520700020715594
chrom,219.1871795654297,Parquet,0.05513889994472265
chrom,980.2788696289062,pyteomics,7.143268799874932
chrom,980.2788696289062,pyopenms,2.828258200082928
chrom,980.2788696289062,pyopenms_2DPeak,2.480443000094965
chrom,980.2788696289062,pymzml,4.065523799974471
chrom,980.2788696289062,mzMLb,6.382213999982923
chrom,980.2788696289062,mzDB,0.49375240015797317
chrom,980.2788696289062,MZA,3.864397999830544
chrom,980.2788696289062,mz5,10.209840800147504
chrom,980.2788696289062,MZTree,0.07067050016485155
chrom,980.2788696289062,mzMD,0.15979619999416173
chrom,980.2788696289062,SQLite,0.25533930002711713
